HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url_0,Input.threadNum,Input.annotation,Input.accepted,Answer.annotatedResult_0.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
34R0BODSQ5ADA3KJWXKRQVX7M7TE5U,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:19 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:19 PDT 2020,,,3YHH42UU5GQU7M536G6KBFNMTUM0L6,A3BWT1FQEZUN8C,Submitted,Mon May 25 11:45:58 PDT 2020,Mon May 25 11:47:14 PDT 2020,Mon Jun 01 11:47:14 PDT 2020,,,,76,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r3_w4_2020-03-04_13-54-08.jpg,2,,False,"[{""height"":14,""label"":""Car"",""left"":346,""top"":171,""width"":23},{""height"":15,""label"":""Car"",""left"":147,""top"":165,""width"":18},{""height"":11,""label"":""Car"",""left"":97,""top"":139,""width"":15},{""height"":10,""label"":""Car"",""left"":110,""top"":134,""width"":12},{""height"":6,""label"":""Car"",""left"":87,""top"":111,""width"":7},{""height"":6,""label"":""Car"",""left"":109,""top"":110,""width"":7}]",576,720,x,
3A520CCNXRBAG9W0RTB8Y6DTELUEA0,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:22 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:22 PDT 2020,,,3N1FSUEFLABS8YZCC0VY455U1XW4D6,A3JREL8PPNS8L2,Submitted,Mon May 25 11:26:39 PDT 2020,Mon May 25 11:26:45 PDT 2020,Mon Jun 01 11:26:45 PDT 2020,,,,6,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r0_w0_2020-04-04_01-54-08.jpg,2,,False,[],576,720,x,
3OPLMF3EV9YV6Y0HHJ3HX7NDMPUNLG,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:40 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:40 PDT 2020,,,3VD82FOHKVZM7Z3GVOFWYXTHXOSOC8,A3GADL9NKRV8PU,Submitted,Mon May 25 12:11:41 PDT 2020,Mon May 25 12:11:57 PDT 2020,Mon Jun 01 12:11:57 PDT 2020,,,,16,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150301_r7_w0_2020-03-21_19-58-01.jpg,2,,False,[],576,704,x,
37YYO3NWIH1JCQ9KFG14ED3ETC2CC7,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:21 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:21 PDT 2020,,,3VP0C6EFSL79RF938HNGKTC262TM6Q,A1PS4V0OY27K1F,Submitted,Mon May 25 11:24:51 PDT 2020,Mon May 25 11:25:00 PDT 2020,Mon Jun 01 11:25:00 PDT 2020,,,,9,100% (1/1),100% (1/1),100% (1/1),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150301_r0_w0_2020-04-08_19-58-01.jpg,2,,False,[],576,704,x,
3IHWR4LC8HO8DQ57QEHLNU5QGQ28I0,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:20:00 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:20:00 PDT 2020,,,33C7UALJVQ9ZZ4628A1GKFKQEMW81Y,A2RKUDGK5PQ44X,Submitted,Mon May 25 12:00:44 PDT 2020,Mon May 25 12:01:04 PDT 2020,Mon Jun 01 12:01:04 PDT 2020,,,,20,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150302_r0_w0_2020-05-06_01-55-45.jpg,2,,False,"[{""height"":52,""label"":""Trailer"",""left"":142,""top"":67,""width"":47},{""height"":8,""label"":""Car"",""left"":116,""top"":36,""width"":9}]",576,704,x,
359AP8GAHKVD09EOOZTTYRB0S1BC7E,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:19 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:19 PDT 2020,,,3WAKVUDHU1RB8NSH0TJUHHTSEZLU7U,A2G4SX2VMF4YLJ,Submitted,Mon May 25 11:48:31 PDT 2020,Mon May 25 11:48:43 PDT 2020,Mon Jun 01 11:48:43 PDT 2020,,,,12,77% (33/43),76% (31/41),73% (27/37),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r3_w4_2020-04-15_07-54-08.jpg,2,,False,"[{""height"":98,""label"":""Car"",""left"":304,""top"":316,""width"":102}]",576,720,,Incorrect classification of Image #1. Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles). 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
3OEWW2KGRNMUQ7C15H56TJFD3QXODG,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:22 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:22 PDT 2020,,,3P1L2B7AD60FA3XM818V1GJ4RXXLOC,A2519LCLPN7Y6I,Submitted,Mon May 25 11:24:09 PDT 2020,Mon May 25 11:36:04 PDT 2020,Mon Jun 01 11:36:04 PDT 2020,,,,715,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r0_w0_2020-04-04_07-54-08.jpg,2,,False,[],576,720,x,
34F34TZU80ATMMNOSFTKP47N75YJ2J,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:19 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:19 PDT 2020,,,30H4UDGLT7TH1LR8NDMPQT3J17MPM2,A3JREL8PPNS8L2,Submitted,Mon May 25 11:40:07 PDT 2020,Mon May 25 11:41:43 PDT 2020,Mon Jun 01 11:41:43 PDT 2020,,,,96,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r5_w4_2020-03-31_19-54-08.jpg,2,,False,[],576,720,x,
3W9XHF7WHO6IH5NJTFDSR6GQM7BKTB,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:40 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:40 PDT 2020,,,3LEP4MGT3LBCTXKLRF5LCJB0BPWBD2,A2519LCLPN7Y6I,Submitted,Mon May 25 13:07:13 PDT 2020,Mon May 25 13:08:39 PDT 2020,Mon Jun 01 13:08:39 PDT 2020,,,,86,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150302_r0_w0_2020-02-23_17-23-26.jpg,2,,False,"[{""height"":107,""label"":""Car"",""left"":478,""top"":357,""width"":164}]",576,704,x,
3G9UA71JWZ508NKUYRAFLVOVILKJ7Z,3GUTVN2B1LSBQEZ7QS99QQAWCHJYUD,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Mon May 25 11:19:22 PDT 2020,1,BatchId:4052431;OriginalHitTemplateId:928390838;,3600,604800,Mon Jun 01 11:19:22 PDT 2020,,,30MVJZJNHRO68Q5G3RD0OBBNS9CJ90,AUYKC1NB9YIRG,Submitted,Mon May 25 11:52:32 PDT 2020,Mon May 25 11:52:55 PDT 2020,Mon Jun 01 11:52:55 PDT 2020,,,,23,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r0_w0_2020-04-04_13-54-08.jpg,2,,False,"[{""height"":14,""label"":""Car"",""left"":174,""top"":116,""width"":16}]",576,720,x,
