,Unnamed: 0,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
0,0,3DZKABX20MGFBZFK6XW945R3DO6CV3,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3IHR8NYAMCC1XV22H9MT4ZMJAZSP4V,ASCLZFXD9WMON,Submitted,Fri Apr 17 13:33:37 PDT 2020,Fri Apr 17 13:38:03 PDT 2020,Mon Apr 20 13:38:03 PDT 2020,,,,266,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0153900_r0_w0_2020-02-23_12-24-30.jpg,[],576,704,,Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles); 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
1,1,31YWE12TF4N137PJFVPGC4WASON7X8,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3NOKK93PR6JFS6A5X1IVJ9Z69HKEE5,ASCLZFXD9WMON,Submitted,Fri Apr 17 13:33:41 PDT 2020,Fri Apr 17 13:38:36 PDT 2020,Mon Apr 20 13:38:36 PDT 2020,,,,295,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0153900_r0_w0_2020-02-24_08-24-30.jpg,[],576,704,,Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles); 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
2,2,35U0MRQMVNIGKOCNW250Z5LK22POVC,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3300DTYQT7S4P90A6SDVDQOKSK7QES,A17QLTKXOMAPP,Submitted,Fri Apr 17 13:27:30 PDT 2020,Fri Apr 17 13:29:02 PDT 2020,Mon Apr 20 13:29:02 PDT 2020,,,,92,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0153900_r0_w0_2020-02-24_09-36-30.jpg,"[{""height"":16,""label"":""Car"",""left"":611,""top"":96,""width"":33}]",576,704,,Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles); 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
3,3,3BCRDCM0PH5CF7C7X25ZGWOC14OK6X,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3HMIGG0U4QHWPAH5KZ8PY2V0GQQY84,ASCLZFXD9WMON,Submitted,Fri Apr 17 13:27:45 PDT 2020,Fri Apr 17 13:29:15 PDT 2020,Mon Apr 20 13:29:15 PDT 2020,,,,90,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0153900_r0_w0_2020-02-24_13-24-30.jpg,"[{""height"":22,""label"":""Car"",""left"":11,""top"":245,""width"":48},{""height"":24,""label"":""Truck"",""left"":3,""top"":222,""width"":63},{""height"":11,""label"":""Car"",""left"":25,""top"":212,""width"":43},{""height"":14,""label"":""Car"",""left"":38,""top"":199,""width"":32}]",576,704,x,
4,4,3TFJJUELTL06E8HIINCY20USGQD2CL,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3DZQRBDBSQQDSRZQ9CL4PZZOJJ3S3T,A4QDCBGN79832,Submitted,Fri Apr 17 13:34:29 PDT 2020,Fri Apr 17 13:43:52 PDT 2020,Mon Apr 20 13:43:52 PDT 2020,,,,563,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0153900_r0_w0_2020-02-24_16-00-30.jpg,"[{""height"":29,""label"":""Car"",""left"":3,""top"":249,""width"":42}]",576,704,,Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles); 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
5,5,3P0I4CQYW2ITZDCSMCAWL74Y9BROWM,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3RGU30DZTFJLFAOAS0H5TXH7NR7MJN,A4QDCBGN79832,Submitted,Fri Apr 17 13:34:28 PDT 2020,Fri Apr 17 13:43:36 PDT 2020,Mon Apr 20 13:43:36 PDT 2020,,,,548,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0153900_r0_w0_2020-02-24_18-24-30.jpg,"[{""height"":17,""label"":""Car"",""left"":17,""top"":223,""width"":42},{""height"":12,""label"":""Car"",""left"":29,""top"":212,""width"":30},{""height"":19,""label"":""Car"",""left"":41,""top"":203,""width"":27},{""height"":13,""label"":""Car"",""left"":44,""top"":193,""width"":28},{""height"":14,""label"":""Car"",""left"":45,""top"":184,""width"":35}]",576,704,,Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles); 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
6,6,3X52SWXE11GSQOFPW715Q7AHKX8CWD,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3ZSY5X72N2MQD1SZDL5RNSS3S8GORW,A1XH5P1RMV9GPQ,Submitted,Fri Apr 17 13:32:17 PDT 2020,Fri Apr 17 13:33:25 PDT 2020,Mon Apr 20 13:33:25 PDT 2020,,,,68,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0153900_r0_w0_2020-02-24_23-24-30.jpg,"[{""height"":19,""label"":""Car"",""left"":39,""top"":193,""width"":38}]",576,704,x,
7,7,33NKDW9FG1T7FOKF6CXRSQOOTZECX6,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3U4J9857OJMWCOJB022ZCR14KX3B7G,A17QLTKXOMAPP,Submitted,Fri Apr 17 13:31:31 PDT 2020,Fri Apr 17 13:32:07 PDT 2020,Mon Apr 20 13:32:07 PDT 2020,,,,36,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0153900_r0_w0_2020-02-25_09-12-30.jpg,"[{""height"":27,""label"":""Car"",""left"":17,""top"":215,""width"":56}]",576,704,,Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles); 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
8,8,3PUOXASB6BEUMLDRVABLNL3RVE99ZJ,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3RXCAC0YIW0W3JW5QTMJR2OWBU18GH,A93HHQ9DI0201,Submitted,Fri Apr 17 13:30:39 PDT 2020,Fri Apr 17 13:32:10 PDT 2020,Mon Apr 20 13:32:10 PDT 2020,,,,91,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0153900_r0_w0_2020-02-25_09-24-30.jpg,"[{""height"":24,""label"":""Car"",""left"":39,""top"":194,""width"":43},{""height"":15,""label"":""Car"",""left"":47,""top"":179,""width"":34},{""height"":18,""label"":""Car"",""left"":56,""top"":168,""width"":33},{""height"":34,""label"":""Van"",""left"":7,""top"":240,""width"":54},{""height"":25,""label"":""Truck"",""left"":185,""top"":83,""width"":89}]",576,704,x,
9,9,30OITAWPCUE8V0DXPO5ENEZMZOSH91,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3J2UYBXQQQNCO12WJC0IMW5PYIM60Q,A93HHQ9DI0201,Submitted,Fri Apr 17 13:32:10 PDT 2020,Fri Apr 17 13:33:50 PDT 2020,Mon Apr 20 13:33:50 PDT 2020,,,,100,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0153900_r0_w0_2020-02-25_16-12-30.jpg,"[{""height"":55,""label"":""Truck"",""left"":44,""top"":153,""width"":61},{""height"":52,""label"":""Truck"",""left"":6,""top"":197,""width"":90},{""height"":56,""label"":""Truck"",""left"":1,""top"":239,""width"":73},{""height"":53,""label"":""Truck"",""left"":0,""top"":286,""width"":70},{""height"":19,""label"":""Truck"",""left"":385,""top"":84,""width"":42}]",576,704,,Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles); 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
10,10,3UEDKCTPAZ1VJ7QCGCARMAO8WF8K7W,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3AQF3RZ55DT3L5HMMUJ3P3ST4KB6FU,ASCLZFXD9WMON,Submitted,Fri Apr 17 13:33:44 PDT 2020,Fri Apr 17 13:39:10 PDT 2020,Mon Apr 20 13:39:10 PDT 2020,,,,326,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0158402_r0_w0_2020-02-23_12-26-07.jpg,[],576,704,x,
11,11,37OPIVELVYEM0JN2HUJEJ9A656AHAG,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3XCC1ODXDQMTYD5FSYXVCXN379XQR5,AYNDM4LEISPXZ,Submitted,Fri Apr 17 13:28:26 PDT 2020,Fri Apr 17 13:28:51 PDT 2020,Mon Apr 20 13:28:51 PDT 2020,,,,25,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0158402_r0_w0_2020-02-24_08-26-08.jpg,"[{""height"":93,""label"":""Car"",""left"":231,""top"":200,""width"":105},{""height"":225,""label"":""Truck"",""left"":0,""top"":299,""width"":120}]",576,704,,Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles); 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
12,12,3I01FDIL7QJGJ0NWIJ79M6CA1QP2DL,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,32SCWG5HIMFFCI6G0XF81X6X6QYP6G,ASCLZFXD9WMON,Submitted,Fri Apr 17 13:33:48 PDT 2020,Fri Apr 17 13:40:13 PDT 2020,Mon Apr 20 13:40:13 PDT 2020,,,,385,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0158402_r0_w0_2020-02-24_09-26-08.jpg,[],576,704,x,
13,13,3W0KKJIASVKZJLVVQH2X0AK37ZEK8J,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3VA45EW49SY2KWTIFRQCH1AQOALO1Z,ASCLZFXD9WMON,Submitted,Fri Apr 17 13:29:15 PDT 2020,Fri Apr 17 13:29:25 PDT 2020,Mon Apr 20 13:29:25 PDT 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0158402_r0_w0_2020-02-24_13-26-08.jpg,[],576,704,x,
14,14,37VE3DA4ZYSRJTSUN8JAEKUCNOVHBB,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3OONKJ5DKHU3XUBAHOJ1NDNZAMCOBI,A93HHQ9DI0201,Submitted,Fri Apr 17 13:30:10 PDT 2020,Fri Apr 17 13:30:25 PDT 2020,Mon Apr 20 13:30:25 PDT 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0158402_r0_w0_2020-02-24_16-02-07.jpg,[],576,704,x,
15,15,33IXYHIZC9TLB61WEEITSOUV12Q2EE,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,39K0FND3AMQAEHL6YU4S0YEOX4DMA7,ASCLZFXD9WMON,Submitted,Fri Apr 17 13:33:27 PDT 2020,Fri Apr 17 13:36:34 PDT 2020,Mon Apr 20 13:36:34 PDT 2020,,,,187,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0158402_r0_w0_2020-02-24_18-26-06.jpg,"[{""height"":90,""label"":""Car"",""left"":246,""top"":180,""width"":105}]",576,704,,Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles); 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
16,16,3JGHED38FH2Q3CFTKRBIVI3JUUH7YE,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3NXNZ5RS1F8DOV4E2IO3LL6EWX0974,A4QDCBGN79832,Submitted,Fri Apr 17 13:34:42 PDT 2020,Fri Apr 17 13:47:32 PDT 2020,Mon Apr 20 13:47:32 PDT 2020,,,,770,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0158402_r0_w0_2020-02-24_23-26-06.jpg,"[{""height"":66,""label"":""Car"",""left"":600,""top"":334,""width"":104}]",576,704,x,
17,17,31D0ZWOD1EABPJH6JMCTDHBPJP8A07,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3Z7ISHFUH56WU0RAGLA8C942MKV8Z6,ASCLZFXD9WMON,Submitted,Fri Apr 17 13:33:40 PDT 2020,Fri Apr 17 13:38:26 PDT 2020,Mon Apr 20 13:38:26 PDT 2020,,,,286,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0158402_r0_w0_2020-02-25_04-26-07.jpg,"[{""height"":44,""label"":""Car"",""left"":544,""top"":60,""width"":41}]",576,704,,Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles); 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
18,18,3JYPJ2TAZMJ99R2YBNDB6JNOODXFPW,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:15 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:15 PDT 2020,,,3VP0C6EFSL79RF938HNGKTC21LN6M1,A17QLTKXOMAPP,Submitted,Fri Apr 17 13:34:01 PDT 2020,Fri Apr 17 13:35:17 PDT 2020,Mon Apr 20 13:35:17 PDT 2020,,,,76,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0158402_r0_w0_2020-02-25_08-10-28.jpg,"[{""height"":270,""label"":""Trailer"",""left"":116,""top"":84,""width"":283},{""height"":379,""label"":""Trailer"",""left"":0,""top"":196,""width"":204}]",576,704,,Task rejected due to one of the following reasons: 1. Not all objects on the image are selected with bounding boxes (including parked and small vehicles); 2. Bounding box is not tight around the object. For more annotation details please reference Task Instruction.
19,19,3VI0PC2ZB2V8ODHIWH6INQI5IDXOXF,3A16Z74070XQIKKB86WXHX3JHRKJOP,Draw bounding boxes around the requested items on the street camera images,"Draw bounding boxes around the object of following classes: 'Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Bicycle', 'Tractor', 'Pedestrian'","bounding box, camera",$0.01,Fri Apr 17 13:26:16 PDT 2020,1,BatchId:3998716;OriginalHitTemplateId:928390838;,3600,259200,Fri Apr 24 13:26:16 PDT 2020,,,3WYP994K1C29LWYHRKBREOZ9AV0Y6I,AIP7PSW2429JL,Submitted,Fri Apr 17 13:27:01 PDT 2020,Fri Apr 17 13:28:16 PDT 2020,Mon Apr 20 13:28:16 PDT 2020,,,,75,0% (0/0),0% (0/0),0% (0/0),https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0158402_r0_w0_2020-02-25_08-46-28.jpg,[],576,704,x,
