Code,Width,Height,isAPINotFunc,isWhiteNoise,RoadType,ImageType,CarsVisible,isLPVisible,Note
C0150200,720,576,0,0,3,1,1,,
C0150201,,,1,0,,,,,
C0150202,,,1,0,,,,,
C0150204,,,1,0,,,,,
C0150209,,,1,0,,,,,
C0150301,704,576,0,0,0,0,1,,
C0150302,704,576,0,0,0,0,1,,
C0150309,704,576,0,0,2,0,0,,
C0150401,1280,720,0,0,0,1,1,,
C0150402,1280,720,0,0,0,1,0,,
C0150409,1280,720,0,0,2,1,0,,
C0150501,704,576,0,0,0,0,1,,
C0150701,704,576,0,0,0,0,1,,
C0150801,1280,720,0,0,3,1,2,,
C0150802,1280,720,0,0,3,1,2,,
C0150803,1280,720,0,0,3,1,1,,
C0150804,1280,720,0,0,3,1,1,,
C0150809,1280,720,0,0,2,1,0,,
C0150901,1280,720,0,0,3,1,2,,
C0150902,1280,720,0,0,3,1,2,,
C0150903,1280,720,0,0,3,1,2,,
C0150904,1280,720,0,0,3,1,2,,
C0150909,1280,720,0,0,2,1,0,,
C0151001,1280,720,0,0,0,1,1,,
C0151002,1280,720,0,0,0,1,1,,
C0151009,1280,720,0,0,2,1,0,,
C0151101,704,576,0,0,3,0,2,,
C0151102,704,576,0,0,3,0,2,,
C0151104,704,576,0,0,3,0,2,,
C0151109,704,576,0,0,2,0,1,,
C0151301,1280,720,0,0,3,1,2,,
C0151302,1280,720,0,0,3,1,2,,
C0151303,1280,720,0,0,3,1,2,,
C0151309,1280,720,0,0,3,1,1,,
C0152101,1280,720,0,0,3,1,1,,
C0152102,1280,720,0,0,3,1,2,,
C0152109,1280,720,0,0,2,1,1,,
C0152201,704,576,0,0,1,0,2,,
C0152202,704,576,0,0,1,0,2,,
C0152209,704,576,0,0,2,0,1,,
C0152301,1280,720,0,0,3,1,2,,
C0152302,1280,720,0,0,3,1,2,,
C0152309,1280,720,0,0,2,1,1,,
C0152401,1280,720,0,0,3,1,2,,
C0152402,1280,720,0,0,3,1,2,,
C0152403,1280,720,0,0,0,1,1,,
C0152404,1280,720,0,0,0,1,1,,
